# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
ben ren 	本人	c=11 d=6.8071e-05 t=228098
ben se 	本色	c=1 d=6.25321e-07 t=228098
ben shen 	本身	c=38 d=0.113608 t=228098
ben si 	笨死	c=0 d=6.19099e-08 t=228098
ben si e 	笨死哦	c=1 d=6.22203e-07 t=228098
ben tiao 	本條	c=1 d=9.68074e-31 t=228098
ben tu 	本土	c=1 d=2.54323e-11 t=228098
ben tu hua 	本土化	c=1 d=2.96549e-24 t=228098
ben wen 	本文	c=3 d=1.81422e-66 t=228098
ben xin 	本心	c=1 d=1.91946e-24 t=228098
ben yi 	本意	c=2 d=0.0098528 t=228098
ben yue 	本月	c=0 d=3.61578e-34 t=228098
ben zhi 	本職	c=2 d=3.34131e-16 t=228098
ben zhi 	本質	c=3 d=1.36882e-17 t=228098
ben zhi shang 	本質上	c=1 d=1 t=207218
ben zhou 	本週	c=85 d=0.386741 t=228098
ben zhou ge 	本週個	c=2 d=0.00142298 t=228098
ben zhou gong zuo 	本週工作	c=1 d=8.96597e-11 t=228098
ben zhou liu 	本週六	c=2 d=1.47849e-12 t=228098
ben zhou ri 	本週日	c=1 d=4.50018e-19 t=228098
ben zhou wu 	本週五	c=2 d=1.30327e-99 t=228098
ben zhou yi 	本週一	c=1 d=1.63221e-58 t=228098
ben zhu 	笨豬	c=2 d=0.54278 t=228098
ben zi 	本子	c=1 d=1 t=227884
beng 	崩	c=6 d=0.222308 t=228098
beng bu 	蚌埠	c=1 d=1 t=207895
beng dai 	繃帶	c=4 d=5.16658e-50 t=228098
beng ku 	崩庫	c=3 d=2.44984e-12 t=228098
beng kui 	崩潰	c=75 d=1.15636 t=228098
beng kui lv 	崩潰率	c=6 d=0.100259 t=228098
bi 	幣	c=1 d=4.14276e-16 t=228098
bi 	必	c=5 d=0.141564 t=228098
bi 	比	c=63 d=0.438235 t=228098
bi 	筆	c=2 d=0.0500366 t=228098
bi 	逼	c=6 d=0.000127168 t=228098
bi a ni 	比啊你	c=1 d=8.47667e-86 t=228098
bi a yi 	比啊一	c=1 d=0.00019549 t=228098
bi bao 	閉包	c=2 d=1.40318e-44 t=228098
bi beng 	韠琫	c=1 d=2.98705e-21 t=228098
bi bi mian 	比避免	c=1 d=6.72856e-16 t=228098
bi chu 	筆觸	c=8 d=0.0698567 t=228098
bi ci 	彼此	c=5 d=3.44424e-20 t=228098
bi du 	必讀	c=2 d=2.71265e-05 t=228098
bi dui 	比對	c=8 d=3.27403e-12 t=228098
bi eh zu 	比誒組	c=1 d=1 t=216255
bi en 	比恩	c=1 d=1.41194e-29 t=228098
bi er gai ci 	比爾蓋茨	c=1 d=1.1308e-05 t=228098
bi hu suo 	庇護所	c=1 d=6.91889e-50 t=228098
bi huan 	閉環	c=2 d=0.0104621 t=228098
bi hui 	必回	c=3 d=2.31959e-14 t=228098
bi ji 	筆記	c=8 d=0.0320126 t=228098
bi ji ben 	筆記本	c=8 d=1.0738e-22 t=228098
bi jia 	比價	c=2 d=2.17873e-44 t=228098
bi jiao 	比較	c=169 d=0.449378 t=228098
bi jiao ao 	比較奧	c=5 d=1.65496e-15 t=228098
bi jiao chang 	比較長	c=1 d=1.7089e-10 t=228098
bi jiao da 	比較大	c=1 d=3.56995e-30 t=228098
bi jiao duo 	比較多	c=1 d=3.66469e-44 t=228098
bi jiao hao 	比較好	c=3 d=0.00029902 t=228098
bi jiao mang 	比較忙	c=1 d=2.12827e-33 t=228098
bi jiao qiang 	比較強	c=1 d=0.000274654 t=228098
bi jiao te shu 	比較特殊	c=1 d=1.09712e-61 t=228098
bi jiao xiao 	比較小	c=1 d=1.16243e-06 t=228098
bi jiao yuan 	比較元	c=1 d=2.10788e-08 t=228098
bi jing 	畢竟	c=21 d=0.0875977 t=228098
bi jing gong cheng 	畢竟工程	c=1 d=1 t=200835
bi kai 	避開	c=2 d=0.00117194 t=228098
bi kan 	必看	c=1 d=5.40917e-07 t=228098
bi li 	比例	c=4 d=8.97494e-08 t=228098
bi mian 	避免	c=45 d=1.8793 t=228098
bi na liang 	比那量	c=1 d=2.5435e-71 t=228098
bi ni 	比你	c=1 d=1.38009e-84 t=228098
bi ni men 	比你們	c=1 d=7.23266e-13 t=228098
bi niu er 	鼻牛兒	c=0 d=1.0631e-15 t=228098
bi niu er ci 	鼻牛兒次	c=1 d=3.243e-47 t=228098
bi niu er di 	鼻牛兒地	c=8 d=0.00729913 t=228098
bi qu 	鼻疽	c=1 d=8.47235e-80 t=228098
bi ran 	必然	c=3 d=1.04134e-06 t=228098
bi ren 	逼人	c=2 d=0.0520787 t=228098
bi ru 	比如	c=193 d=0.732728 t=228098
bi sai 	比賽	c=3 d=0.00577048 t=228098
bi shi 	筆試	c=1 d=0.802519 t=228098
bi shou 	匕首	c=6 d=1.19795e-18 t=228098
bi si 	必死	c=1 d=2.19644e-51 t=228098
bi su 	鄙俗	c=1 d=1 t=226117
bi ti 	鼻涕	c=0 d=0.1 t=215489
bi tian 	必填	c=2 d=2.96842e-65 t=228098
bi tou 	筆頭	c=0 d=0.00158434 t=228098
bi xia 	比下	c=0 d=6.11357e-07 t=228098
bi xian 	必先	c=1 d=3.7311e-20 t=228098
bi xian 	必現	c=3 d=1.99575e-12 t=228098
bi xian 	避險	c=4 d=3.71249e-20 t=228098
bi xin 	比心	c=1 d=2.72755e-40 t=228098
bi xu 	必需	c=1 d=1.79219e-11 t=228098
bi xu 	必須	c=76 d=0.00326502 t=228098
bi xu yao 	必須要	c=2 d=3.26391e-05 t=228098
bi yao 	必要	c=32 d=0.308819 t=228098
bi yao xing 	必要性	c=1 d=1 t=202673
bi ye 	畢業	c=6 d=7.30037e-05 t=228098
bi ye qian 	畢業前	c=1 d=1.22532e-67 t=228098
bi zhen 	逼真	c=1 d=0.0839457 t=228098
bi zhi 	比值	c=1 d=0.000102566 t=228098
bi zhong 	比重	c=1 d=4.40989e-104 t=228098
bi zhuang 	比裝	c=1 d=2.45678e-104 t=228098
bi zi 	鼻子	c=1 d=0.000220415 t=228098
bian 	便	c=4 d=0.0191587 t=228098
bian 	扁	c=1 d=1.64301e-18 t=228098
bian 	變	c=39 d=0.938014 t=228098
bian 	遍	c=1 d=1.60217e-16 t=228098
bian 	邊	c=21 d=0.00582853 t=228098
bian a 	便啊	c=1 d=6.10901e-56 t=228098
bian cha 	變差	c=1 d=1.17623e-86 t=228098
bian cheng 	編程	c=57 d=0.993014 t=228098
bian cheng 	變成	c=24 d=0.017953 t=228098
bian da 	變大	c=1 d=4.43199e-104 t=228098
bian de 	變的	c=2 d=0.187308 t=228098
bian dong 	變動	c=8 d=7.96022e-23 t=228098
bian duo 	便多	c=1 d=7.82946e-34 t=228098
bian fu 	蝙蝠	c=1 d=9.99255e-51 t=228098
bian geng 	變更	c=8 d=0.729789 t=228098
bian hao 	編號	c=16 d=1.6142e-08 t=228098
bian hei 	變黑	c=2 d=1.04374e-77 t=228098
bian hua 	變化	c=51 d=0.491479 t=228098
bian hua ma 	變化嗎	c=1 d=2.68657e-09 t=228098
bian huan 	變換	c=7 d=4.14205e-14 t=228098
bian hui 	便會	c=1 d=5.73254e-43 t=228098
bian ji 	編輯	c=59 d=0.601483 t=228098
bian ji qi 	編輯器	c=16 d=0.0682037 t=228098
bian jie 	便捷	c=6 d=0.0553349 t=228098
bian jie 	邊界	c=1 d=8.00914e-95 t=228098
bian ke 	便可	c=1 d=4.18555e-78 t=228098
bian li 	便利	c=0 d=3.89859e-67 t=228098
bian li 	遍歷	c=21 d=1.12264e-08 t=228098
bian li na ge 	便利那個	c=2 d=3.91814e-66 t=228098
bian liang 	變量	c=62 d=0.227779 t=228098
bian liang he 	變量和	c=1 d=1 t=211674
bian liang ming 	變量名	c=1 d=3.83219e-11 t=228098
bian liang ming zi 	變量名字	c=1 d=6.98701e-77 t=228098
bian liang zhong 	變量中	c=1 d=2.68611e-07 t=228098
bian ma 	編碼	c=28 d=0.000432334 t=228098
bian mi 	便祕	c=1 d=9.15644e-23 t=228098
bian sai 	邊塞	c=2 d=0.0859321 t=228098
bian se 	變色	c=6 d=1.2719e-06 t=228098
bian shen 	變身	c=8 d=4.83812e-10 t=228098
bian xian 	變現	c=1 d=2.22206e-11 t=228098
bian xiang 	變相	c=2 d=0.579842 t=228098
bian xie 	編寫	c=23 d=0.0133665 t=228098
bian xing 	變形	c=3 d=1.12264e-08 t=228098
bian yi 	編譯	c=185 d=2.63366 t=228098
bian yi qi 	編譯器	c=3 d=9.42245e-07 t=228098
bian yu 	便於	c=4 d=0.404542 t=228098
bian yuan 	邊緣	c=4 d=0.752014 t=228098
bian yuan hua 	邊緣化	c=1 d=1.8091e-92 t=228098
biao 	表	c=10 d=1.12807e-06 t=228098
biao da 	表達	c=12 d=1.33021e-05 t=228098
biao da shi 	表達式	c=7 d=1.70582e-10 t=228098
biao dan 	表單	c=4 d=9.21674e-12 t=228098
biao dao 	彪到	c=1 d=7.74496e-24 t=228098
biao ge 	表格	c=21 d=0.440648 t=228098
biao ge zhong 	表格中	c=2 d=1.87953e-12 t=228098
biao ji 	標記	c=22 d=0.909373 t=228098
biao mian 	表面	c=2 d=1.19783e-06 t=228098
biao ming 	標明	c=2 d=6.69593e-47 t=228098
biao ming 	表明	c=2 d=3.64467e-10 t=228098
biao ming le 	表明了	c=1 d=3.66294e-09 t=228098
biao qian 	標籤	c=22 d=0.983737 t=228098
biao qing 	表情	c=8 d=7.73574e-10 t=228098
biao qing bao 	表情包	c=3 d=3.08809e-30 t=228098
biao sheng 	飆升	c=1 d=5.83821e-52 t=228098
biao shi 	標識	c=10 d=1.26991e-17 t=228098
biao shi 	表示	c=43 d=0.159617 t=228098
biao shi fu 	標識符	c=4 d=0.201897 t=228098
biao shu 	表述	c=1 d=5.19619e-05 t=228098
biao ti 	標題	c=13 d=0.460704 t=228098
biao ti dang 	標題黨	c=1 d=2.62658e-08 t=228098
biao xia 	標下	c=1 d=1 t=200632
biao xian 	表現	c=28 d=0.419961 t=228098
biao xian bu xing 	表現不行	c=1 d=3.95159e-19 t=228098
biao xian ceng 	表現層	c=3 d=9.56811e-11 t=228098
biao yan 	表演	c=3 d=1.05639e-20 t=228098
biao yang 	表揚	c=1 d=2.55199e-22 t=228098
biao zhi 	標誌	c=2 d=0.000178665 t=228098
biao zhong 	表中	c=1 d=0.904837 t=228098
biao zhu 	標註	c=1 d=4.08999e-71 t=228098
biao zhun 	標準	c=87 d=0.579842 t=228098
biao zhun ban 	標準版	c=1 d=1 t=218410
biao zhun cha 	標準差	c=10 d=0.028466 t=228098
biao zhun gong chen 	標準功臣	c=1 d=2.38278e-09 t=228098
biao zhun hua 	標準化	c=57 d=0.00458484 t=228098
biao zhun ma 	標準嗎	c=1 d=2.97004e-42 t=228098
bie 	別	c=145 d=1.05288 t=228098
bie 	憋	c=2 d=6.98248e-40 t=228098
bie 	鱉	c=1 d=6.94765e-40 t=228098
bie chu qu 	別出去	c=1 d=2.92691e-17 t=228098
bie fen xiang 	別分享	c=1 d=1 t=196959
bie feng 	憋瘋	c=1 d=2.58202e-42 t=228098
bie gan 	別幹	c=1 d=3.55589e-13 t=228098
bie guan 	別管	c=2 d=1.5383e-08 t=228098
bie guo 	別過	c=1 d=1.0827e-23 t=228098
bie hui qu 	別回去	c=1 d=1.77399e-38 t=228098
bie ji 	別急	c=1 d=9.29927e-58 t=228098
bie jin qu 	別進去	c=1 d=9.02962e-06 t=228098
bie jing 	別經	c=1 d=3.14204e-116 t=228098
bie ke qi 	別客氣	c=3 d=0.00151098 t=228098
bie ming 	別名	c=1 d=1.80873e-119 t=228098
bie niu 	彆扭	c=2 d=1.21655e-12 t=228098
bie nong cuo 	別弄錯	c=1 d=2.28166e-87 t=228098
bie qu 	別去	c=3 d=0.000523486 t=228098
bie qu xiang 	別去想	c=1 d=2.57448e-37 t=228098
bie ran 	別然	c=1 d=3.52171e-17 t=228098
bie re 	別惹	c=1 d=1.78908e-20 t=228098
bie ren 	別人	c=23 d=0.0833631 t=228098
bie ren ti gong 	別人提供	c=1 d=6.31714e-09 t=228098
bie shang ke 	別上課	c=1 d=5.36082e-19 t=228098
bie ti 	別提	c=1 d=1.3783e-11 t=228098
bie wang 	別忘	c=1 d=5.77128e-34 t=228098
bie wang ji 	別忘記	c=9 d=0.0110536 t=228098
bie xiang 	別像	c=1 d=1 t=227887
bie yong 	別用	c=2 d=4.84302e-84 t=228098
bie zai 	別再	c=1 d=2.747e-06 t=228098
bie zai jia 	鱉在家	c=1 d=4.20881e-55 t=228098
bie zhao ji 	別着急	c=1 d=0.000876127 t=228098
bin gu 	髕骨	c=0 d=0.1 t=209213
bin gu bu shi 	髕骨不是	c=1 d=1 t=209214
bin qi 	擯棄	c=0 d=1.11548e-22 t=228098
bin qi qie 	擯棄切	c=1 d=1.12107e-21 t=228098
bing 	丙	c=1 d=1.31828e-45 t=228098
bing 	並	c=10 d=1.757e-13 t=228098
bing 	病	c=4 d=0.000141247 t=228098
bing bao 	冰雹	c=8 d=5.37184e-07 t=228098
bing bu 	並不	c=1 d=5.63243e-71 t=228098
bing bu dui 	並不對	c=1 d=6.01826e-27 t=228098
bing bu gui fan 	並不規範	c=1 d=1 t=201151
bing bu hui 	並不會	c=4 d=2.33758e-19 t=228098
bing bu neng 	並不能	c=1 d=1.37143e-10 t=228098
bing bu shi 	並不是	c=25 d=0.292293 t=228098
bing du 	病毒	c=2 d=2.29449e-06 t=228098
bing fa 	併發	c=1 d=3.00826e-16 t=228098
bing fa 	兵法	c=1 d=2.97833e-16 t=228098
bing gan 	餅乾	c=1 d=4.23739e-18 t=228098
bing guan 	冰冠	c=1 d=1.57093e-49 t=228098
bing ji lin 	並吉林	c=1 d=1 t=214172
bing ji ling 	冰激凌	c=2 d=5.78425e-31 t=228098
bing li 	病例	c=4 d=2.47396e-39 t=228098
bing lie 	並列	c=1 d=2.6247e-29 t=228098
bing mei you 	並沒有	c=17 d=0.0578443 t=228098
bing qi 	摒棄	c=5 d=2.62836e-16 t=228098
bing qie 	並且	c=16 d=5.04434e-09 t=228098
bing ren 	病人	c=1 d=1.13988e-99 t=228098
bing tu 	餅圖	c=2 d=7.54898e-06 t=228098
bing wei 	並未	c=1 d=1.40223e-36 t=228098
bing xiang 	冰箱	c=1 d=3.93121e-17 t=228098
bing xing 	並行	c=1 d=1.29843e-43 t=228098
bing zai 	並在	c=1 d=1.31081e-37 t=228098
bing zhu 	兵主	c=5 d=5.68019e-51 t=228098
bo 	伯	c=0 d=0.1 t=218108
bo 	博	c=3 d=0.044601 t=228098
bo 	播	c=1 d=2.06425e-56 t=228098
bo 	波	c=5 d=6.2123e-18 t=228098
bo cai 	菠菜	c=1 d=8.98344e-07 t=228098
bo cai dan gao 	菠菜蛋糕	c=3 d=0.0468877 t=228098
bo dong 	波動	c=4 d=0.00160441 t=228098
bo fan 	博飯	c=1 d=1.18499e-85 t=228098
bo fang 	播放	c=71 d=0.0146767 t=228098
bo fang le 	播放了	c=1 d=2.9659e-55 t=228098
bo fang na ge 	播放那個	c=1 d=0.0131675 t=228098
bo fang qi 	播放器	c=5 d=1.34295e-08 t=228098
bo fang zhong 	播放中	c=2 d=7.17732e-86 t=228098
bo fu 	伯父	c=1 d=4.59749e-06 t=228098
bo hui 	駁回	c=2 d=7.55086e-67 t=228098
bo ji 	波及	c=1 d=3.60069e-72 t=228098
bo ke 	博客	c=3 d=0.0314502 t=228098
bo la 	撥剌	c=1 d=2.55112e-18 t=228098
bo la le si 	伯拉勒斯	c=3 d=1.02419e-17 t=228098
bo lang gu 	撥浪鼓	c=2 d=7.91204e-05 t=228098
bo le la si 	伯勒拉斯	c=3 d=1.59452 t=227536
bo li 	伯利	c=0 d=8.77441e-52 t=228098
bo li 	剝離	c=5 d=1.12321e-14 t=228098
bo li 	玻璃	c=4 d=1.11761e-14 t=228098
bo shi 	博士	c=1 d=1 t=199365
bo si 	波斯	c=0 d=3.83194e-70 t=228098
bo wen 	波紋	c=1 d=4.02417e-86 t=228098
bo xing 	波形	c=2 d=6.5949e-74 t=228098
bu 	不	c=1086 d=1.7928 t=228098
bu 	布	c=1 d=3.02427e-49 t=228098
bu 	步	c=10 d=7.17556e-08 t=228098
bu 	補	c=7 d=0.000172971 t=228098
bu 	部	c=7 d=0.0242926 t=228098
bu a hao 	不啊好	c=1 d=1.07247e-29 t=228098
bu a hou 	不啊後	c=2 d=1.47087e-10 t=228098
bu ai 	不愛	c=0 d=0.0153355 t=228098
bu ai kan 	不愛看	c=1 d=1.67405e-91 t=228098
bu ai si kao 	不愛思考	c=1 d=1 t=223065
bu an 	不安	c=1 d=1 t=216834
bu ang 	不昂	c=1 d=3.86835e-92 t=228098
bu ban 	補班	c=1 d=1.33525e-19 t=228098
bu ban li 	不辦理	c=1 d=2.00194e-19 t=228098
bu bang 	不幫	c=1 d=2.75787e-23 t=228098
bu bao 	布包	c=2 d=1.09209e-07 t=228098
bu bao che 	不包車	c=1 d=2.50231e-26 t=228098
bu bao cuo 	不報錯	c=1 d=1.22549e-98 t=228098
bu bao han 	不包含	c=4 d=0.000645813 t=228098
bu bao kuo 	不包括	c=2 d=1 t=219918
bu beng 	不崩	c=1 d=0.132655 t=228098
bu bi 	不必	c=1 d=1.0083e-09 t=228098
bu bi yao 	不必要	c=3 d=0.0387742 t=228098
bu bian 	不變	c=3 d=0.00244185 t=228098
bu bu 	補補	c=1 d=2.70372e-25 t=228098
bu can jia 	不參加	c=2 d=0.00404611 t=228098
bu cao zuo 	不操作	c=1 d=1 t=208128
bu cha 	不差	c=1 d=1 t=206775
bu chao guo 	不超過	c=1 d=1.27013e-19 t=228098
bu cheng gong 	不成功	c=1 d=1.30432e-08 t=228098
bu chi 	不喫	c=1 d=0.1 t=215478
bu chi fan 	不喫飯	c=2 d=2.90983e-07 t=228098
bu chi la dao 	不喫拉倒	c=1 d=1 t=215479
bu chong 	補充	c=32 d=0.460704 t=228098
bu chong ge 	補充個	c=1 d=4.01869e-70 t=228098
bu chong tu 	不衝突	c=2 d=0.0212909 t=228098
bu chou 	不愁	c=1 d=3.18214e-30 t=228098
bu chou xiang 	不抽象	c=1 d=2.53375e-114 t=228098
bu chu 	不出	c=10 d=0.000119762 t=228098
bu chu lai 	不出來	c=6 d=0.00101284 t=228098
bu chu li 	不處理	c=3 d=0.0135009 t=228098
bu chu men 	不出門	c=1 d=6.38347e-73 t=228098
bu chu na ge 	不出那個	c=1 d=3.39711e-05 t=228098
bu chu qu 	不出去	c=4 d=4.88329e-39 t=228098
bu chu xian 	不出現	c=1 d=9.02165e-25 t=228098
bu chu yi wai 	不出意外	c=1 d=2.25872e-27 t=228098
bu chuan 	不穿	c=0 d=1.32124e-43 t=228098
bu chuan tou 	不穿頭	c=1 d=1.32787e-42 t=228098
bu cu 	不粗	c=1 d=2.18542e-80 t=228098
bu cun zai 	不存在	c=21 d=0.000534061 t=228098
bu cuo 	不錯	c=57 d=0.733447 t=228098
bu da 	不大	c=53 d=0.04256 t=228098
bu da 	不打	c=2 d=8.4931e-50 t=228098
bu da kai 	不打開	c=1 d=8.54786e-08 t=228098
bu da rao 	不打擾	c=2 d=1 t=208470
bu dai 	不帶	c=46 d=0.00585922 t=228098
bu dai biao 	不代表	c=1 d=0.0235177 t=228098
bu dai hong 	不帶宏	c=1 d=1.5383e-08 t=228098
bu dai jiu 	不帶就	c=1 d=2.49738e-91 t=228098
bu dao 	不到	c=22 d=0.882497 t=228098
bu dao wei 	不到位	c=2 d=1.60108e-08 t=228098
bu de 	不得	c=1 d=1.46438e-105 t=228098
bu de bu 	不得不	c=0 d=1.80485e-36 t=228098
bu de bu de 	不得不的	c=1 d=2.88235e-13 t=228098
bu de bu pei fu 	不得不佩服	c=1 d=1.8139e-35 t=228098
bu de liao 	不得了	c=1 d=3.22583e-14 t=228098
bu dei 	不得	c=2 d=8.05281e-12 t=228098
bu deng lu 	不登錄	c=2 d=3.81372e-13 t=228098
bu di a 	不低啊	c=1 d=3.1115e-60 t=228098
bu dian ji 	不點擊	c=1 d=7.79439e-40 t=228098
bu diao 	不掉	c=3 d=0.00120811 t=228098
bu diao 	步調	c=3 d=7.5617e-07 t=228098
bu ding 	布丁	c=1 d=3.05259e-41 t=228098
bu ding 	補丁	c=1 d=0.244143 t=228098
bu dong 	不動	c=10 d=0.140714 t=228098
bu dong 	不懂	c=15 d=0.782705 t=228098
bu dong dian 	不懂點	c=1 d=8.05941e-51 t=228098
bu dou 	不都	c=2 d=1.81958e-13 t=228098
bu dou shi 	不都是	c=4 d=0.810584 t=228098
bu du 	不讀	c=2 d=0.382893 t=228098
bu duan 	不斷	c=10 d=3.36331e-05 t=228098
bu duan 	不短	c=1 d=5.74854e-17 t=228098
bu dui 	不對	c=82 d=0.334543 t=228098
bu dui 	部隊	c=14 d=9.3053e-09 t=228098
bu dui qi 	不對齊	c=1 d=2.28382e-10 t=228098
bu duo 	不多	c=21 d=0.384916 t=228098
bu e 	不餓	c=2 d=1.36575e-20 t=228098
bu e jing 	不餓經	c=6 d=1.58623e-16 t=228098
bu e ni de 	不餓你的	c=1 d=9.74552e-80 t=228098
bu eng 	不嗯	c=2 d=0.00138093 t=228098
bu er 	布爾	c=1 d=5.44056e-75 t=228098
bu er nuo 	布爾諾	c=0 d=1.65367e-95 t=228098
bu er nuo na ge 	布爾諾那個	c=4 d=0.847894 t=228098
bu fa 	步伐	c=1 d=1.3041e-06 t=228098
bu fan 	不凡	c=0 d=3.99891e-13 t=228098
bu fan hui 	不返回	c=3 d=5.43781e-06 t=228098
bu fan qiang 	不凡強	c=1 d=4.01895e-12 t=228098
bu fang 	不妨	c=3 d=2.56085e-05 t=228098
bu fang 	不放	c=3 d=2.64928e-21 t=228098
bu fang bi a 	不防弊啊	c=1 d=1.68341e-39 t=228098
bu fang bian 	不方便	c=12 d=0.000175127 t=228098
bu fang dao 	不妨到	c=1 d=0.000257369 t=228098
bu fang dian 	不妨點	c=1 d=2.138e-116 t=228098
bu fang xin 	不放心	c=1 d=1 t=198025
bu fen 	部分	c=101 d=1.01989 t=228098
bu fen ne 	部分呢	c=1 d=9.11299e-114 t=228098
bu feng 	不封	c=1 d=1.71152e-28 t=228098
bu fu he 	不符合	c=12 d=0.873716 t=228098
bu fu qi 	不服氣	c=1 d=3.41588e-11 t=228098
bu fu za 	不複雜	c=2 d=1.47036e-06 t=228098
bu fu ze 	不負責	c=3 d=1.14808e-25 t=228098
bu gai 	不改	c=1 d=1 t=205054
bu gai 	不該	c=2 d=7.48876e-40 t=228098
bu gan 	不敢	c=26 d=0.663697 t=228098
bu gan dang 	不敢當	c=1 d=5.9053e-10 t=228098
bu gan qu 	不敢去	c=1 d=3.08044e-89 t=228098
bu gan ti 	不敢提	c=1 d=4.02798e-09 t=228098
bu gan xing qu 	不感興趣	c=1 d=1.44248e-16 t=228098
bu gan yong 	不敢用	c=1 d=2.33075e-14 t=228098
bu gan yu 	不甘於	c=1 d=7.4461e-61 t=228098
bu gao 	不高	c=2 d=6.1009e-11 t=228098
bu gao su ni 	不告訴你	c=1 d=0.172907 t=228098
bu gei 	不給	c=2 d=4.78838e-14 t=228098
bu gei 	補給	c=6 d=4.76449e-14 t=228098
bu gei li 	不給裏	c=1 d=4.34761e-25 t=228098
bu gei quan xian 	補給權限	c=1 d=6.83141e-18 t=228098
bu gen 	不跟	c=1 d=3.48159e-88 t=228098
bu gong 	不共	c=1 d=3.52411e-25 t=228098
bu gou 	不夠	c=34 d=0.0278757 t=228098
bu gou hou 	不夠厚	c=1 d=3.38477e-21 t=228098
bu gou jian er jin zhi 	不構建二進制	c=1 d=9.27684e-59 t=228098
bu gu 	不顧	c=1 d=3.01781e-112 t=228098
bu gu li 	不鼓勵	c=1 d=0.489192 t=228098
bu gua 	不掛	c=1 d=0.00174675 t=228098
bu guai 	不怪	c=1 d=3.06779e-70 t=228098
bu guan 	不管	c=40 d=0.0383199 t=228098
bu guan gao ming 	不管高明	c=1 d=1 t=206774
bu guan lian 	不關聯	c=3 d=1.55054e-13 t=228098
bu guan shi 	不管事	c=1 d=3.5168e-30 t=228098
bu guan shi 	不管是	c=1 d=5.46725e-15 t=228098
bu guan xi 	不關係	c=2 d=7.371e-30 t=228098
bu guan xin 	不關心	c=4 d=2.9038e-12 t=228098
bu guan yong 	不管用	c=8 d=0.0672055 t=228098
bu guan yong di 	不管用滴	c=1 d=1.5695e-97 t=228098
bu guan zao bu zao 	不管早不早	c=1 d=0.000332125 t=228098
bu guang 	不光	c=2 d=8.71208e-124 t=228098
bu gui 	不貴	c=4 d=3.45738e-06 t=228098
bu gui fan 	不規範	c=4 d=8.92523e-75 t=228098
bu guo 	不過	c=109 d=1.02064 t=228098
bu guo lai 	不過來	c=1 d=1 t=228019
bu hao 	不好	c=76 d=0.628135 t=228098
bu hao chi 	不好喫	c=1 d=1 t=199872
bu hao da 	不好打	c=1 d=1 t=226770
bu hao dai 	不好帶	c=1 d=3.65659e-18 t=228098
bu hao ding 	不好定	c=1 d=1 t=209784
bu hao gai 	不好改	c=2 d=1.9802 t=214278
bu hao guo 	不好過	c=0 d=3.2066e-121 t=228098
bu hao guo che 	不好過車	c=1 d=3.22267e-120 t=228098
bu hao hao 	不好好	c=1 d=1 t=202331
bu hao jiu 	不好就	c=1 d=2.32434e-11 t=228098
bu hao kan 	不好看	c=7 d=1.23596e-16 t=228098
bu hao ke neng 	不好可能	c=1 d=5.62896e-05 t=228098
bu hao nong 	不好弄	c=3 d=6.79966e-22 t=228098
bu hao shi 	不好使	c=1 d=3.32577e-20 t=228098
bu hao tiao shi 	不好調試	c=1 d=2.25581e-100 t=228098
bu hao ting 	不好聽	c=1 d=1.05888e-26 t=228098
bu hao yi si 	不好意思	c=1 d=1.19494e-07 t=228098
bu hao yong 	不好用	c=4 d=3.70416e-23 t=228098
bu hao zheng 	不好整	c=3 d=3.09724e-06 t=228098
bu hao zhua 	不好抓	c=1 d=9.43338e-50 t=228098
bu hao zuo 	不好做	c=2 d=3.792e-34 t=228098
bu he 	不和	c=2 d=4.06003e-14 t=228098
bu he 	不喝	c=1 d=1.58699e-51 t=228098
bu he fa 	不合法	c=4 d=7.33649e-63 t=228098
bu he li 	不合理	c=3 d=6.16116e-09 t=228098
bu he shi 	不合適	c=6 d=0.582748 t=228098
bu hen 	不很	c=1 d=2.31834e-10 t=228098
bu hen 	不恨	c=1 d=2.34164e-10 t=228098
bu hu 	不戶	c=1 d=9.73289e-06 t=228098
bu huan 	不換	c=2 d=0.000100034 t=228098
bu huang 	不慌	c=5 d=0.00132016 t=228098
bu hui 	不回	c=1 d=4.38757e-15 t=228098
bu hui 	不會	c=168 d=0.639802 t=228098
bu hui a li 	不會啊裏	c=1 d=0.0236356 t=228098
bu hui da 	不會打	c=2 d=5.05653e-08 t=228098
bu hui fei 	不會飛	c=4 d=2.44325e-49 t=228098
bu hui fu 	不回覆	c=2 d=6.8456e-13 t=228098
bu hui jia 	不回家	c=1 d=1.15364e-05 t=228098
bu hui qu 	不回去	c=5 d=0.00245409 t=228098
bu hui yin wei 	不會因爲	c=1 d=1.19514e-09 t=228098
bu hui zong yao 	不會總要	c=1 d=2.76238e-101 t=228098
bu hui zuo 	不會做	c=1 d=1.90062e-55 t=228098
bu huo 	不活	c=2 d=0.205975 t=228098
bu huo 	捕獲	c=3 d=0.208045 t=228098
bu ji de 	不記得	c=1 d=5.56519e-18 t=228098
bu ji ji 	不積極	c=2 d=0.00755912 t=228098
bu ji suan 	不計算	c=1 d=1 t=212091
bu jia 	不佳	c=1 d=0.00453922 t=228098
